EEG Fp1-Ref,EEG Fp2-Ref,EEG F3-Ref,EEG F4-Ref,EEG F7-Ref,EEG F8-Ref,EEG Fz-Ref,EEG C3-Ref,EEG C4-Ref,EEG Cz-Ref,EEG T3-Ref,EEG T5-Ref,EEG T4-Ref,EEG T6-Ref,EEG P3-Ref,EEG P4-Ref,EEG Pz-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
6.6964454481642165e-06,-3.46294051942504e-05,2.1790447706533066e-06,-3.3062227240831013e-07,1.773898043763533e-05,-1.388282430494104e-05,-1.1373157261879423e-05,1.8444224982450908e-06,3.6848449964902762e-06,1.713111362040132e-07,1.623318021179836e-05,1.4392757713553175e-05,6.361823175756001e-06,3.4804716330454325e-05,-7.190378856776729e-06,-2.9275448835718958e-05,-1.3046268623920501e-05,-2.003733634449388e-06,3.5175338602861686e-06,4.400682882168025e-05,0.00033077811627552095,1.0
2.8482893154697376e-06,-1.0201979308450669e-05,5.859889767143678e-06,-2.8402893154699267e-06,2.2591003387554452e-05,-1.2878957487716393e-05,-9.36542362743013e-06,3.852156132694384e-06,4.354089541306708e-06,8.405556810204443e-07,2.075058088930927e-05,1.4727379985961389e-05,1.907746952726819e-05,2.8112270882290012e-05,-6.855756584368514e-06,-2.8773515427106632e-05,-1.2209712942899962e-05,5.059334086122288e-07,7.19837885677654e-06,3.179311587878038e-05,0.0003249222265083772,1.00390625
-1.2878957487716393e-05,-1.9738714072084814e-05,1.6771113620409832e-06,-1.4552068849757471e-05,2.0415958616901052e-05,-1.1373157261879423e-05,-1.2042401806695854e-05,-4.979334086124179e-07,1.5098002258368753e-06,6.732445448163366e-07,1.857553611865587e-05,1.2050401806695665e-05,2.978538224433109e-05,3.0120004516739304e-05,-9.532734763634238e-06,-3.044662678914771e-05,-1.4886691122165688e-05,-2.8402893154699267e-06,3.1829115878779533e-06,1.3890824304940851e-05,0.0003185644033326211,1.0078125
-1.4217446577349256e-05,-7.525001129184945e-06,6.732445448163366e-07,-1.154046839808353e-05,1.757166930143122e-05,-1.756366930143141e-05,-2.0240647480697136e-05,-4.84802294991922e-06,-1.5018002258370645e-06,-4.979334086124179e-07,1.556393566698193e-05,1.0377290444654586e-05,3.145849360637217e-05,3.279698269600503e-05,-1.0536601580858886e-05,-3.22870492873929e-05,-1.7061735892819088e-05,-3.6768449964904654e-06,1.8444224982450908e-06,3.6848449964902762e-06,0.00031170464674825266,1.01171875
-1.0703912717062993e-05,2.011733634449199e-06,2.011733634449199e-06,-5.517267494735652e-06,1.773898043763533e-05,-1.555593566698212e-05,-2.0073336344493028e-05,-1.83642249824528e-06,1.3424890896327677e-06,1.713111362040132e-07,1.7237047029023004e-05,1.6567802484206577e-05,4.551262904751722e-05,2.694109292886126e-05,-8.863490218817806e-06,-3.0112004516739493e-05,-1.3715513168736932e-05,-6.652445448165257e-07,2.1790447706533066e-06,-4.346089541306897e-06,0.000304342956755272,1.015625
-7.525001129184945e-06,1.8444224982450908e-06,3.1829115878779533e-06,-2.2248381115146428e-05,2.008133634449284e-05,-9.36542362743013e-06,-1.7229047029023193e-05,1.1751779534286598e-06,4.688711813714923e-06,1.713111362040132e-07,1.773898043763533e-05,1.3054268623920312e-05,2.9618071108126982e-05,2.5100670430616073e-05,-7.85962340159316e-06,-2.827158201849431e-05,-1.2711646351512286e-05,-1.6331113620420237e-07,3.0156004516738452e-06,-2.6431159520249123e-05,0.0002964793333536789,1.01953125
-5.3499563585315436e-06,-1.4886691122165688e-05,-9.998668172247413e-07,-6.688445448164406e-06,2.3260247932370886e-05,-1.08712238532671e-05,-1.0703912717062993e-05,5.190645222327246e-06,5.69257863093957e-06,3.3862227240812094e-07,2.1085203161717486e-05,1.0711912717062803e-05,1.70697358928189e-05,2.443142588579964e-05,-7.525001129184945e-06,-2.7936959746086093e-05,-1.2711646351512286e-05,-4.979334086124179e-07,2.5136670430615223e-06,-4.8850851771599564e-05,0.00028828108767967763,1.0234375
-7.85962340159316e-06,-2.3252247932371076e-05,-3.0076004516740344e-06,-3.3062227240831013e-07,2.075058088930927e-05,-1.5054002258369795e-05,-1.170777953428764e-05,1.6771113620409832e-06,5.190645222327246e-06,6.732445448163366e-07,1.773898043763533e-05,7.700312265388862e-06,3.129118247016806e-05,3.179311587878038e-05,-9.700045899838345e-06,-2.961007110812717e-05,-1.4719379985961578e-05,-4.0114672688986815e-06,8.405556810204443e-07,-4.767967381817081e-05,0.0002794135974608599,1.02734375
-3.1749115878781424e-06,-2.2081069978942323e-05,3.350222724082061e-06,5.059334086122288e-07,1.8910158391064086e-05,-1.3046268623920501e-05,-1.8734847254860166e-05,-3.1749115878781424e-06,3.3862227240812094e-07,-3.3062227240831013e-07,1.4560068849757282e-05,4.019467268898492e-06,2.7944959746085904e-05,3.84855613269447e-05,-1.170777953428764e-05,-3.0948560197760036e-05,-1.689442475661498e-05,-6.019200903347974e-06,-2.1710447706534957e-06,-3.646982769249559e-05,0.0002703787961058381,1.03125
-3.0076004516740344e-06,-1.756366930143141e-05,3.1829115878779533e-06,-6.019200903347974e-06,2.008133634449284e-05,-2.040795861690124e-05,-2.141182543412589e-05,-2.003733634449388e-06,3.999999999905412e-09,-1.6331113620420237e-07,1.606586907559425e-05,7.031067720572432e-06,3.748169450972005e-05,3.714707223731183e-05,-9.867357036042453e-06,-2.977738224433128e-05,-1.3548202032532825e-05,-5.517267494735652e-06,-2.672978179265819e-06,-4.6843118137150275e-05,0.0002608420613422039,1.03515625
