EEG Fp1-Ref,EEG Fp2-Ref,EEG F3-Ref,EEG F4-Ref,EEG F7-Ref,EEG F8-Ref,EEG Fz-Ref,EEG C3-Ref,EEG C4-Ref,EEG Cz-Ref,EEG T3-Ref,EEG T5-Ref,EEG T4-Ref,EEG T6-Ref,EEG P3-Ref,EEG P4-Ref,EEG Pz-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
-2.258300338755464e-05,-4.84802294991922e-06,-2.3252247932371076e-05,5.3543563585314395e-05,-1.990602520828892e-05,1.8742847254859977e-05,-1.6331113620420237e-07,-1.2042401806695854e-05,8.767503537095239e-05,4.2501028595843275e-05,-2.977738224433128e-05,-3.161780474257646e-05,4.383951768547614e-05,2.0583269753105164e-05,3.999999999905412e-09,0.00011728910647907945,7.111123288674571e-05,-6.35382317575619e-06,3.363353837702557e-05,3.246236042359681e-05,9.821563695181117e-05,2957.0
-2.4423425885799828e-05,-5.684578630939759e-06,-2.4590737022003937e-05,5.3543563585314395e-05,-2.2081069978942323e-05,1.70697358928189e-05,1.713111362040132e-07,-1.2711646351512286e-05,8.767503537095239e-05,4.3170273140659716e-05,-3.161780474257646e-05,-3.379284951322987e-05,4.099522837000631e-05,1.7237047029023004e-05,-2.1710447706534957e-06,0.00011511406170842606,6.89361881160923e-05,-8.863490218817806e-06,3.0789249061555735e-05,3.129118247016806e-05,9.838294808801528e-05,2957.00390625
-2.6765781792657337e-05,-7.357689992980836e-06,-2.609653724784091e-05,5.337625244911029e-05,-2.3921492477187506e-05,1.4894691122165499e-05,3.3862227240812094e-07,-1.3715513168736932e-05,8.717310196234005e-05,4.333758427686382e-05,-3.329091610461754e-05,-3.580058314767916e-05,3.7816316782128265e-05,1.2719646351512097e-05,-3.5095338602863577e-06,0.00011226977239295623,6.67611433454389e-05,-1.0536601580858886e-05,2.7275715201269473e-05,2.8112270882290012e-05,9.855025922421938e-05,2957.0078125
-2.8606204290902524e-05,-8.528867946409592e-06,-2.7100404065065557e-05,5.3710874721518504e-05,-2.4925359294412154e-05,1.2719646351512097e-05,3.999999999905412e-09,-1.4552068849757471e-05,8.616923514511541e-05,4.3170273140659716e-05,-3.429478292184219e-05,-3.780831678212846e-05,3.580858314767897e-05,9.875357036042264e-06,-4.0114672688986815e-06,0.0001095927942136905,6.492072084719371e-05,-1.2878957487716393e-05,2.3929492477187317e-05,2.4933359294411965e-05,9.855025922421938e-05,2957.01171875
-2.9944693380535385e-05,-1.0034668172246562e-05,-2.7936959746086093e-05,5.4045496993926714e-05,-2.6598470656453232e-05,1.0711912717062803e-05,-1.6331113620420237e-07,-1.4719379985961578e-05,8.516536832789077e-05,4.2501028595843275e-05,-3.66371388286997e-05,-3.9983361552781854e-05,3.447009405804611e-05,8.202245674001186e-06,-4.84802294991922e-06,0.00010842161626026176,6.40841651661732e-05,-1.538862453077801e-05,2.1754447706533917e-05,2.2758314523758564e-05,9.871757036042349e-05,2957.015625
-3.1283182470168246e-05,-1.2209712942899962e-05,-2.910813769951485e-05,5.3543563585314395e-05,-2.843889315469842e-05,8.871490218817617e-06,3.999999999905412e-09,-1.4719379985961578e-05,8.449612378307434e-05,4.1664472914822746e-05,-3.9816050416577745e-05,-4.266033973204758e-05,3.262967155980092e-05,6.1945120395518935e-06,-6.35382317575619e-06,0.00010741774944303711,6.308029834894853e-05,-1.756366930143141e-05,1.991402520828873e-05,1.5731246803186038e-05,9.88848814966276e-05,2957.01953125
-3.211973815118879e-05,-1.4886691122165688e-05,-2.977738224433128e-05,5.237238563188564e-05,-2.8773515427106632e-05,6.529134311960109e-06,3.999999999905412e-09,-1.4719379985961578e-05,8.299032355723736e-05,4.132985064241452e-05,-4.0987228370006505e-05,-4.450076223029276e-05,2.978538224433109e-05,3.6848449964902762e-06,-7.023067720572621e-06,0.0001054100158085878,6.190912039551979e-05,-1.923678066347249e-05,1.8240913846247652e-05,3.1829115878779533e-06,9.88848814966276e-05,2957.0234375
-3.22870492873929e-05,-1.689442475661498e-05,-2.9442759971923063e-05,5.136851881466099e-05,-2.827158201849431e-05,3.350222724082061e-06,3.999999999905412e-09,-1.4384757713553364e-05,8.114990105899218e-05,4.149716177861863e-05,-3.964873928037364e-05,-4.4333451094088655e-05,2.6773781792657148e-05,2.346355906857414e-06,-6.688445448164406e-06,0.00010373690444654672,6.174180925931568e-05,-1.9404091799676594e-05,1.757166930143122e-05,-5.015334086123328e-06,9.88848814966276e-05,2957.02734375
-3.2621671559801114e-05,-1.8567536118656058e-05,-2.8940826563310737e-05,5.0531963133640456e-05,-2.8606204290902524e-05,1.0078668172245522e-06,1.713111362040132e-07,-1.3548202032532825e-05,7.981141196935931e-05,4.1664472914822746e-05,-3.8310250190740776e-05,-4.31622731406599e-05,2.5100670430616073e-05,1.8444224982450908e-06,-5.684578630939759e-06,0.00010323497103793441,6.190912039551979e-05,-1.923678066347249e-05,1.857553611865587e-05,-2.8402893154699267e-06,9.88848814966276e-05,2957.03125
-3.329091610461754e-05,-1.9738714072084814e-05,-2.977738224433128e-05,5.019734086123224e-05,-2.977738224433128e-05,1.713111362040132e-07,3.999999999905412e-09,-1.3380890896328717e-05,7.880754515213468e-05,4.1664472914822746e-05,-3.897949473555721e-05,-4.31622731406599e-05,2.4598737022003748e-05,1.6771113620409832e-06,-5.182645222327435e-06,0.00010290034876552618,6.123987585070335e-05,-1.9738714072084814e-05,1.907746952726819e-05,1.1751779534286598e-06,9.871757036042349e-05,2957.03515625
