EEG Fp1-REF,EEG Fp2-REF,EEG F3-REF,EEG F4-REF,EEG C3-REF,EEG C4-REF,EEG P3-REF,EEG P4-REF,EEG O1-REF,EEG O2-REF,EEG F7-REF,EEG F8-REF,EEG T3-REF,EEG T4-REF,EEG T5-REF,EEG T6-REF,EEG Fz-REF,EEG Cz-REF,EEG Pz-REF,ECG EKG-REF,Resp Effort-REF,time
-1.7238918149357778e-05,4.577983136997569e-05,3.616680178228076e-05,2.5485657795953043e-05,9.918555130161422e-05,6.882058482619689e-05,0.00010544164992217758,-3.0514054246650784e-05,9.842261244544795e-05,-4.6688357997375604e-05,2.9147764305551117e-05,2.9605527619250877e-05,2.4875306711020034e-05,5.997049409466822e-05,4.700053353984171e-05,5.096781559190628e-05,4.123369823297633e-06,2.2281314600054733e-05,6.256448620563351e-05,-7.778476332896096e-06,5.1914842219304035e-06,1.0
-1.5560452665791996e-05,4.516948028504268e-05,3.555645069734774e-05,2.4417543397320274e-05,9.918555130161422e-05,6.439553946043254e-05,0.00010528906215094434,-3.3870985213782355e-05,9.674414696188218e-05,-4.821423570970812e-05,3.0063290932950636e-05,2.930035207678437e-05,2.609600888088606e-05,6.149637180700074e-05,4.654277022614195e-05,4.913676233710726e-05,3.6656065095978743e-06,2.2433902371287986e-05,6.149637180700074e-05,-7.473300790429591e-06,4.733720908230645e-06,1.00390625
-1.3881987182226214e-05,4.4253953657643155e-05,3.4793511841181476e-05,2.3349428998687505e-05,9.888037575914772e-05,6.0733432950834475e-05,0.0001040683599810783,-3.6770152867214155e-05,9.415015485091688e-05,-4.92823501083409e-05,3.067364201788365e-05,2.8690000991851358e-05,2.670635996581907e-05,6.271707397686676e-05,4.577983136997569e-05,4.547465582750918e-05,3.6656065095978743e-06,2.2433902371287986e-05,5.997049409466822e-05,-5.184484221930796e-06,3.97078205206438e-06,1.0078125
-1.418716272469272e-05,4.272807594531063e-05,3.540386292611449e-05,2.3044253456221e-05,9.888037575914772e-05,5.813944083986918e-05,0.00010330542112491206,-3.768567949461367e-05,9.262427713858434e-05,-4.8519411252174636e-05,3.08262297891169e-05,2.8690000991851358e-05,2.4875306711020034e-05,5.93601430097352e-05,4.4864304742576174e-05,4.349101480147689e-05,3.818194280831127e-06,2.212872682882148e-05,5.8444616382335687e-05,-3.963782052064773e-06,3.3604309671313687e-06,1.01171875
-1.5560452665791996e-05,4.1354786004211354e-05,3.5861626239814245e-05,2.365460454115401e-05,9.888037575914772e-05,5.67661508987699e-05,0.00010269507003997904,-3.692274063844741e-05,9.186133828241809e-05,-4.6993533539842104e-05,3.0063290932950636e-05,3.067364201788365e-05,2.2281314600054733e-05,6.134378403576749e-05,4.318583925901039e-05,4.4864304742576174e-05,3.6656065095978743e-06,2.212872682882148e-05,5.8444616382335687e-05,-6.252598620563567e-06,3.2078431958981155e-06,1.015625
-1.662856706442477e-05,4.1507373775444604e-05,3.540386292611449e-05,2.518048225348654e-05,9.796484913174819e-05,5.752908975493616e-05,0.00010208471895504602,-3.615980178228115e-05,9.140357496871831e-05,-4.729870908230861e-05,2.899517653431786e-05,3.357280967131545e-05,2.060284911648895e-05,6.393777614673279e-05,4.181254931791111e-05,4.654277022614195e-05,3.97078205206438e-06,2.212872682882148e-05,5.8444616382335687e-05,-6.710361934263327e-06,4.886308679463898e-06,1.01953125
-1.739150592059103e-05,4.2880663716543886e-05,3.4793511841181476e-05,2.6401184423352563e-05,9.750708581804843e-05,5.890237969603544e-05,0.00010162695564134627,-3.585462623981464e-05,9.292945268105084e-05,-4.7756472396008366e-05,2.930035207678437e-05,3.5861626239814245e-05,2.1365787972655213e-05,6.592141717276508e-05,4.181254931791111e-05,4.745829685354147e-05,4.886308679463898e-06,2.212872682882148e-05,5.813944083986918e-05,-3.81119428083152e-06,6.869949705496186e-06,1.0234375
-1.784926923429079e-05,4.364360257271015e-05,3.4946099612414726e-05,2.716412327951883e-05,9.704932250434868e-05,5.8597204153568936e-05,0.00010071142901394676,-3.448133629871536e-05,9.659155919064892e-05,-4.4857304742576566e-05,2.930035207678437e-05,3.8303030579546296e-05,2.3044253456221e-05,7.538185898922676e-05,4.257548817407738e-05,4.928935010834051e-05,5.954423078096669e-06,2.212872682882148e-05,5.752908975493616e-05,-2.4379043397322436e-06,4.733720908230645e-06,1.02734375
-1.7544093691824285e-05,4.257548817407738e-05,3.433574852748172e-05,2.7774474364451838e-05,9.56760325632494e-05,5.615579981383689e-05,9.918555130161422e-05,-3.3870985213782355e-05,9.811743690298145e-05,-4.256848817407777e-05,2.82322376781516e-05,4.104961046174485e-05,2.1365787972655213e-05,8.01120798974576e-05,4.08970226905116e-05,5.005228896450677e-05,5.649247535630163e-06,2.1976139057588226e-05,5.67661508987699e-05,-5.184484221930796e-06,1.37678994109908e-06,1.03125
-1.9069971404156817e-05,3.876079389324605e-05,3.280987081514919e-05,2.8537413220618104e-05,9.415015485091688e-05,5.340921993163834e-05,9.674414696188218e-05,-3.539686292611488e-05,9.59812081057159e-05,-4.4094365886410296e-05,2.716412327951883e-05,4.3033251487777136e-05,1.8161444776756906e-05,7.690773670155928e-05,3.769267949461328e-05,4.7610884624774725e-05,5.1914842219304035e-06,2.1976139057588226e-05,5.539286095767062e-05,-7.168125247963085e-06,2.9026676534316095e-06,1.03515625
-1.937514694662332e-05,3.921855720694581e-05,3.250469527268268e-05,2.9147764305551117e-05,9.30820404522841e-05,5.142557890560605e-05,9.491309370708313e-05,-3.783826726584693e-05,9.353980376598386e-05,-4.5925419141209335e-05,2.7621886593218585e-05,4.394877811517665e-05,1.7245918149357387e-05,7.4313744590594e-05,3.555645069734774e-05,4.516948028504268e-05,5.1914842219304035e-06,2.1976139057588226e-05,5.462992210150436e-05,-4.116369823298026e-06,4.275957594530887e-06,1.0390625
-1.6018215979491756e-05,4.837382348094099e-05,3.280987081514919e-05,2.899517653431786e-05,9.262427713858434e-05,5.020487673574003e-05,9.430274262215013e-05,-3.905896943571295e-05,9.369239153721711e-05,-4.516248028504307e-05,2.8537413220618104e-05,4.394877811517665e-05,1.831403254799016e-05,7.339821796319447e-05,3.555645069734774e-05,4.608500691244219e-05,5.1914842219304035e-06,2.1823551286354977e-05,5.4935097643970866e-05,-2.743079882198749e-06,6.138510849328153e-07,1.04296875
-1.311904832605995e-05,5.554544872890388e-05,3.3267634128848944e-05,2.8079649906918348e-05,9.216651382488459e-05,4.8831586794640744e-05,9.399756707968361e-05,-3.89063816644797e-05,9.415015485091688e-05,-4.455212920011006e-05,2.9147764305551117e-05,4.455912920010966e-05,1.9076971404156422e-05,7.736550001525906e-05,3.708232840968027e-05,4.852641125217424e-05,5.1914842219304035e-06,2.1976139057588226e-05,5.462992210150436e-05,-4.726720908231038e-06,-2.4379043397322436e-06,1.046875
-1.3424223868526456e-05,5.279886884670532e-05,3.387798521378196e-05,2.716412327951883e-05,9.186133828241809e-05,4.654277022614195e-05,9.323462822351735e-05,-3.844861835077994e-05,9.338721599475061e-05,-4.577283136997608e-05,3.036846647541714e-05,4.516948028504268e-05,1.938214694662293e-05,8.331642309335592e-05,3.86082061220128e-05,4.913676233710726e-05,5.344071993163657e-06,2.1976139057588226e-05,5.264628107547207e-05,-5.794835306863808e-06,-2.285316568498991e-06,1.05078125
-1.4034574953459467e-05,4.837382348094099e-05,3.448833629871497e-05,2.6401184423352563e-05,9.201392605365133e-05,4.4253953657643155e-05,9.247168936735109e-05,-3.829603057954669e-05,9.216651382488459e-05,-4.7756472396008366e-05,3.143658087404991e-05,4.4864304742576174e-05,2.014508580278919e-05,8.316383532212266e-05,3.906596943571256e-05,4.806864793847448e-05,5.1914842219304035e-06,2.1976139057588226e-05,4.928935010834051e-05,-5.184484221930796e-06,-2.132728797265738e-06,1.0546875
-1.3729399410992963e-05,4.928935010834051e-05,3.4793511841181476e-05,2.4722718939786784e-05,9.216651382488459e-05,4.2880663716543886e-05,9.201392605365133e-05,-3.8601206122013194e-05,9.064063611255205e-05,-4.989270119327391e-05,3.265728304391594e-05,4.349101480147689e-05,1.9687322489089435e-05,8.163795760979013e-05,3.86082061220128e-05,4.7763472396007975e-05,5.1914842219304035e-06,2.2281314600054733e-05,4.532206805627593e-05,-7.320713019196338e-06,-1.980141026032485e-06,1.05859375
-1.418716272469272e-05,5.0357464506973276e-05,3.4640924069948226e-05,2.3807192312387265e-05,9.186133828241809e-05,4.2270312631610866e-05,9.109839942625181e-05,-3.982190829187922e-05,8.850440731528651e-05,-5.157116667683969e-05,3.296245858638244e-05,4.2880663716543886e-05,1.9687322489089435e-05,8.407936194952217e-05,3.876079389324605e-05,4.806864793847448e-05,5.649247535630163e-06,2.212872682882148e-05,4.104961046174485e-05,-1.3424223868526456e-05,-4.542633136999553e-07,1.0625
-1.3881987182226214e-05,4.989970119327352e-05,3.4946099612414726e-05,2.4570131168553528e-05,9.125098719748508e-05,4.165996154667786e-05,9.04880483413188e-05,-4.165296154667825e-05,8.72837051454205e-05,-5.18763422193062e-05,3.250469527268268e-05,4.455912920010966e-05,2.1213200201421964e-05,8.49948885769217e-05,4.074443491927834e-05,4.791606016724123e-05,6.56477416302968e-06,2.1823551286354977e-05,3.723491618091352e-05,-1.006729290139489e-05,3.0867554246630944e-07,1.06640625
-1.1593170613727421e-05,5.081522782067303e-05,3.6014214011047495e-05,2.609600888088606e-05,9.170875051118483e-05,4.074443491927834e-05,9.094581165501855e-05,-4.348401480147728e-05,8.72837051454205e-05,-5.126599113437319e-05,3.3115046357615694e-05,4.852641125217424e-05,2.2891665684987746e-05,8.606300297555446e-05,4.349101480147689e-05,4.63901824549087e-05,7.327713019195945e-06,2.1976139057588226e-05,3.433574852748172e-05,1.5293777123323331e-06,3.0867554246630944e-07,1.0703125
-8.846590731528868e-06,5.264628107547207e-05,3.754009172338003e-05,2.7621886593218585e-05,9.323462822351735e-05,3.921855720694581e-05,9.201392605365133e-05,-4.439954142887681e-05,8.713111737418724e-05,-5.096081559190668e-05,3.525127515488123e-05,5.371439547410485e-05,2.4875306711020034e-05,8.713111737418724e-05,4.532206805627593e-05,4.440654142887641e-05,7.785476332895703e-06,2.2586490142521243e-05,3.280987081514919e-05,3.3604309671313687e-06,1.6819654835655861e-06,1.07421875
-6.557774163030073e-06,5.44773343302711e-05,3.86082061220128e-05,2.8690000991851358e-05,9.384497930845038e-05,3.692974063844702e-05,9.186133828241809e-05,-4.455212920011006e-05,8.423194972075544e-05,-5.096081559190668e-05,3.708232840968027e-05,5.829202861110243e-05,2.6858947737052326e-05,8.331642309335592e-05,4.608500691244219e-05,4.333842703024364e-05,8.395827417828716e-06,2.2433902371287986e-05,3.4946099612414726e-05,-1.0646143986329673e-06,1.834553254798839e-06,1.078125
-5.947423078097062e-06,5.5698036500137136e-05,3.784526726584653e-05,2.8537413220618104e-05,9.27768649098176e-05,3.37253974425487e-05,9.033546057008555e-05,-4.4857304742576566e-05,7.873878995635833e-05,-5.111340336313994e-05,3.647197732474726e-05,6.1648959578234e-05,2.624859665211931e-05,8.179054538102338e-05,4.516948028504268e-05,4.242290040284412e-05,7.938064104128956e-06,2.1823551286354977e-05,4.043925937681184e-05,-7.594388561664611e-07,-4.542633136999553e-07,1.08203125
-7.778476332896096e-06,5.554544872890388e-05,3.5861626239814245e-05,2.716412327951883e-05,9.064063611255205e-05,3.0063290932950636e-05,8.804664400158675e-05,-4.531506805627632e-05,7.126198916592893e-05,-5.18763422193062e-05,3.387798521378196e-05,6.302224951933326e-05,2.4112367854853768e-05,8.575782743308796e-05,4.165996154667786e-05,4.08970226905116e-05,6.259598620563174e-06,2.1823551286354977e-05,4.547465582750918e-05,3.0867554246630944e-07,-1.5223777123327258e-06,1.0859375
-9.609529587695131e-06,5.371439547410485e-05,3.433574852748172e-05,2.5485657795953043e-05,8.865699508651976e-05,2.7316711050752082e-05,8.560523966185471e-05,-4.6230594683675834e-05,6.409036391796604e-05,-5.3097044389172226e-05,3.158916864528316e-05,6.0580845179601225e-05,2.2739077913754492e-05,8.682594183172074e-05,3.8150442808313047e-05,3.9371144978179065e-05,5.344071993163657e-06,2.1976139057588226e-05,4.7763472396007975e-05,-7.594388561664611e-07,-9.120266273997141e-07,1.08984375
-1.0372468443861397e-05,5.081522782067303e-05,3.448833629871497e-05,2.4875306711020034e-05,8.774146845912025e-05,2.5027894482253287e-05,8.377418640705567e-05,-4.745129685354186e-05,5.890237969603544e-05,-5.4470334330271494e-05,3.143658087404991e-05,5.5240273186437366e-05,2.0908024658955457e-05,8.545265189062145e-05,3.616680178228076e-05,3.921855720694581e-05,4.886308679463898e-06,2.212872682882148e-05,4.791606016724123e-05,-6.068510849332083e-07,3.0867554246630944e-07,1.09375
-9.609529587695131e-06,4.9441937879573764e-05,3.570903846858099e-05,2.5333070024719794e-05,8.774146845912025e-05,2.2891665684987746e-05,8.285865977965616e-05,-4.882458679464114e-05,5.554544872890388e-05,-5.5996212042604026e-05,3.37253974425487e-05,5.188334221930581e-05,2.04502613452557e-05,8.484230080568845e-05,3.647197732474726e-05,3.967632052064557e-05,4.581133136997392e-06,2.2281314600054733e-05,4.684794576860846e-05,3.499999999803549e-09,3.0552554246648627e-06,1.09765625
-7.778476332896096e-06,5.081522782067303e-05,3.708232840968027e-05,2.609600888088606e-05,8.911475840021952e-05,2.212872682882148e-05,8.285865977965616e-05,-4.897717456587439e-05,5.462992210150436e-05,-5.736950198370331e-05,3.799785503707978e-05,5.462992210150436e-05,2.5027894482253287e-05,8.774146845912025e-05,4.043925937681184e-05,3.998149606311207e-05,5.1914842219304035e-06,2.2281314600054733e-05,4.440654142887641e-05,-2.4379043397322436e-06,9.006178502761727e-06,1.1015625
