EEG Fp1-Ref,EEG Fp2-Ref,EEG F7-Ref,EEG F3-Ref,EEG Fz-Ref,EEG F4-Ref,EEG F8-Ref,EEG T3-Ref,EEG C3-Ref,EEG Cz-Ref,EEG C4-Ref,EEG T4-Ref,EEG T5-Ref,EEG P3-Ref,EEG Pz-Ref,EEG P4-Ref,EEG T6-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
9.37342362742994e-06,1.713111362040132e-07,4.019467268898492e-06,-1.0369290444654776e-05,-1.6331113620420237e-07,1.713111362040132e-07,3.5175338602861686e-06,-6.019200903347974e-06,-2.003733634449388e-06,6.732445448163366e-07,2.011733634449199e-06,1.713111362040132e-07,1.1715779534287451e-05,5.059334086122288e-07,4.354089541306708e-06,1.1751779534286598e-06,9.206112491225834e-06,2.5136670430615223e-06,4.354089541306708e-06,0.00010842161626026176,-4.232571745963936e-05,673.0
9.206112491225834e-06,-1.0536601580858886e-05,4.186778405102599e-06,-4.346089541306897e-06,3.999999999905412e-09,-2.3383559068576033e-06,2.5136670430615223e-06,-6.521134311960298e-06,-1.83642249824528e-06,6.732445448163366e-07,1.6771113620409832e-06,-2.1710447706534957e-06,-5.182645222327435e-06,-8.325556810206334e-07,4.019467268898492e-06,1.5098002258368753e-06,1.606586907559425e-05,-4.84802294991922e-06,-6.652445448165257e-07,9.118856923123864e-05,-4.550462904751741e-05,673.00390625
6.6964454481642165e-06,1.0711912717062803e-05,2.5136670430615223e-06,-3.3062227240831013e-07,-3.3062227240831013e-07,-5.517267494735652e-06,3.0156004516738452e-06,-5.517267494735652e-06,-1.83642249824528e-06,1.713111362040132e-07,5.059334086122288e-07,5.023334086123139e-06,-2.672978179265819e-06,-1.167177953428849e-06,2.5136670430615223e-06,3.999999999905412e-09,-6.688445448164406e-06,-6.35382317575619e-06,-5.182645222327435e-06,8.683847968993184e-05,-4.617387359233384e-05,673.0078125
6.1945120395518935e-06,1.4894691122165499e-05,4.354089541306708e-06,1.0042668172246373e-05,-3.3062227240831013e-07,1.5098002258368753e-06,5.69257863093957e-06,-4.84802294991922e-06,2.5136670430615223e-06,4.354089541306708e-06,5.525267494735462e-06,8.202245674001186e-06,5.023334086123139e-06,4.186778405102599e-06,6.361823175756001e-06,6.863756584368324e-06,4.856022949919031e-06,4.688711813714923e-06,7.5330011291847556e-06,9.637521445356599e-05,-4.7010429273354384e-05,673.01171875
5.190645222327246e-06,3.999999999905412e-09,2.5136670430615223e-06,6.027200903347785e-06,1.713111362040132e-07,-5.015334086123328e-06,8.405556810204443e-07,-4.84802294991922e-06,-3.1749115878781424e-06,-1.6691113620411723e-06,-4.979334086124179e-07,1.0078668172245522e-06,6.529134311960109e-06,-1.83642249824528e-06,1.713111362040132e-07,-4.979334086124179e-07,6.529134311960109e-06,-8.863490218817806e-06,-7.692312265389051e-06,9.788101467940296e-05,-5.018934086123243e-05,673.015625
6.361823175756001e-06,2.011733634449199e-06,2.346355906857414e-06,6.1945120395518935e-06,3.999999999905412e-09,-5.517267494735652e-06,1.6771113620409832e-06,-5.3499563585315436e-06,-4.84802294991922e-06,-2.5056670430617114e-06,-1.6691113620411723e-06,-4.979334086124179e-07,5.023334086123139e-06,-2.8402893154699267e-06,5.059334086122288e-07,-2.5056670430617114e-06,-4.979334086124179e-07,-4.0114672688986815e-06,-3.6768449964904654e-06,8.700579082613595e-05,-5.4372119266335124e-05,673.01953125
4.856022949919031e-06,-2.0073336344493028e-05,1.6771113620409832e-06,3.999999999905412e-09,-1.6331113620420237e-07,-5.015334086123328e-06,3.1829115878779533e-06,-7.357689992980836e-06,-4.680711813715112e-06,-2.003733634449388e-06,-1.167177953428849e-06,4.354089541306708e-06,1.3424890896327677e-06,-4.0114672688986815e-06,-4.979334086124179e-07,-1.167177953428849e-06,4.521400677510815e-06,-5.684578630939759e-06,-4.84802294991922e-06,7.981141196935931e-05,-5.7216408581804954e-05,673.0234375
5.3579563585313544e-06,-7.357689992980836e-06,2.1790447706533066e-06,-9.998668172247413e-07,-3.3062227240831013e-07,-5.015334086123328e-06,-5.015334086123328e-06,-6.35382317575619e-06,-4.680711813715112e-06,-2.1710447706534957e-06,-1.83642249824528e-06,1.6771113620409832e-06,1.6771113620409832e-06,-3.34222272408225e-06,1.713111362040132e-07,-1.5018002258370645e-06,-4.979334086124179e-07,-9.36542362743013e-06,-6.688445448164406e-06,8.248839014862504e-05,-5.82202753990296e-05,673.02734375
6.361823175756001e-06,9.206112491225834e-06,4.688711813714923e-06,-1.6331113620420237e-07,1.713111362040132e-07,-4.979334086124179e-07,7.365689992980647e-06,-2.672978179265819e-06,3.3862227240812094e-07,2.1790447706533066e-06,2.5136670430615223e-06,-2.1710447706534957e-06,-7.525001129184945e-06,1.6771113620409832e-06,3.350222724082061e-06,2.68097817926563e-06,3.1829115878779533e-06,5.059334086122288e-07,1.0078668172245522e-06,8.18191456038086e-05,-5.955876448866247e-05,673.03125
3.0156004516738452e-06,1.1751779534286598e-06,8.405556810204443e-07,-1.5018002258370645e-06,-1.6331113620420237e-07,-4.346089541306897e-06,-2.1710447706534957e-06,-5.015334086123328e-06,-1.6691113620411723e-06,-1.5018002258370645e-06,-4.979334086124179e-07,-4.178778405102789e-06,-5.182645222327435e-06,-1.3344890896329568e-06,3.999999999905412e-09,-4.979334086124179e-07,-8.361556810205484e-06,-3.0076004516740344e-06,-1.83642249824528e-06,6.86015658436841e-05,-6.206843153172408e-05,673.03515625
